Origin,Destination,geometry
"Houston-The Woodlands-Sugar Land, TX Metro Area",San Antonio-Austin,"c(57824.6968077953, -183081.853219032, 745978.649418963, 771529.030149578)"
"Dallas-Fort Worth-Arlington, TX Metro Area",San Antonio-Austin,"c(-90300.2804842401, -183081.853219032, 1086985.55109666, 771529.030149578)"
"Los Angeles-Long Beach-Anaheim, CA Metro Area",San Antonio-Austin,"c(-2006895.21738375, -183081.853219032, 1474448.46920972, 771529.030149578)"
"Killeen-Temple, TX Metro Area",San Antonio-Austin,"c(-169716.916094593, -183081.853219032, 905199.064981753, 771529.030149578)"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",San Antonio-Austin,"c(1817127.24709183, -183081.853219032, 2183370.04857766, 771529.030149578)"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",San Antonio-Austin,"c(1580291.34560499, -183081.853219032, 1908084.76365421, 771529.030149578)"
"El Paso, TX Metro Area",San Antonio-Austin,"c(-901044.881878594, -183081.853219032, 982796.180743581, 771529.030149578)"
"Corpus Christi, TX Metro Area",San Antonio-Austin,"c(-155341.36556877, -183081.853219032, 532974.891347455, 771529.030149578)"
"San Francisco-Oakland-Berkeley, CA Metro Area",San Antonio-Austin,"c(-2254001.62536742, -183081.853219032, 1950533.89873595, 771529.030149578)"
"Phoenix-Mesa-Chandler, AZ Metro Area",San Antonio-Austin,"c(-1481703.07395248, -183081.853219032, 1249685.45470617, 771529.030149578)"
"McAllen-Edinburg-Mission, TX Metro Area",San Antonio-Austin,"c(-219342.031223023, -183081.853219032, 373840.197684331, 771529.030149578)"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",San Antonio-Austin,"c(663545.360672743, -183081.853219032, 2105483.44614602, 771529.030149578)"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",San Antonio-Austin,"c(-2213092.29025606, -183081.853219032, 1837710.60543367, 771529.030149578)"
"Laredo, TX Metro Area",San Antonio-Austin,"c(-329637.945613204, -183081.853219032, 527378.051896628, 771529.030149578)"
"Seattle-Tacoma-Bellevue, WA Metro Area",San Antonio-Austin,"c(-1934615.2827065, -183081.853219032, 2993731.96591367, 771529.030149578)"
"College Station-Bryan, TX Metro Area",San Antonio-Austin,"c(-46703.0517660045, -183081.853219032, 853463.303267547, 771529.030149578)"
"Urban Honolulu, HI Metro Area",San Antonio-Austin,"c(-996470.788142361, -183081.853219032, 467590.199800323, 771529.030149578)"
"San Diego-Chula Vista-Carlsbad, CA Metro Area",San Antonio-Austin,"c(-1909541.95714136, -183081.853219032, 1316256.82792732, 771529.030149578)"
"Brownsville-Harlingen, TX Metro Area",San Antonio-Austin,"c(-153133.534752811, -183081.853219032, 343595.803594003, 771529.030149578)"
"Denver-Aurora-Lakewood, CO Metro Area",San Antonio-Austin,"c(-757657.14465957, -183081.853219032, 1859065.92192049, 771529.030149578)"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",San Antonio-Austin,"c(1555617.86588861, -183081.853219032, 471939.329996488, 771529.030149578)"
"Waco, TX Metro Area",San Antonio-Austin,"c(-103187.193622392, -183081.853219032, 928481.702965602, 771529.030149578)"
"Kansas City, MO-KS Metro Area",San Antonio-Austin,"c(133469.566921775, -183081.853219032, 1768682.23712156, 771529.030149578)"
"Boston-Cambridge-Newton, MA-NH Metro Area",San Antonio-Austin,"c(2008998.53201496, -183081.853219032, 2437691.75194724, 771529.030149578)"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",San Antonio-Austin,"c(1739949.98345136, -183081.853219032, 2066575.82236797, 771529.030149578)"
"Abilene, TX Metro Area",San Antonio-Austin,"c(-347519.885404816, -183081.853219032, 1048676.02629127, 771529.030149578)"
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",San Antonio-Austin,"c(1708320.85346815, -183081.853219032, 1702173.05395871, 771529.030149578)"
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",San Antonio-Austin,"c(1065239.30616629, -183081.853219032, 1245657.75737064, 771529.030149578)"
"Baltimore-Columbia-Towson, MD Metro Area",San Antonio-Austin,"c(1647022.84979077, -183081.853219032, 1981674.63712956, 771529.030149578)"
"Riverside-San Bernardino-Ontario, CA Metro Area",San Antonio-Austin,"c(-1818861.50482274, -183081.853219032, 1469836.16456345, 771529.030149578)"
"Victoria, TX Metro Area",San Antonio-Austin,"c(-116979.723197206, -183081.853219032, 629176.469074846, 771529.030149578)"
"Colorado Springs, CO Metro Area",San Antonio-Austin,"c(-743409.596806422, -183081.853219032, 1791164.86517569, 771529.030149578)"
"San Angelo, TX Metro Area",San Antonio-Austin,"c(-451429.003578685, -183081.853219032, 945860.587077961, 771529.030149578)"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",San Antonio-Austin,"c(-2039967.42767371, -183081.853219032, 2798138.96451564, 771529.030149578)"
"Las Vegas-Henderson-Paradise, NV Metro Area",San Antonio-Austin,"c(-1682590.28167346, -183081.853219032, 1631589.95373669, 771529.030149578)"
"Albuquerque, NM Metro Area",San Antonio-Austin,"c(-944020.843881638, -183081.853219032, 1392309.42274342, 771529.030149578)"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",San Antonio-Austin,"c(214298.420156603, -183081.853219032, 2460031.46019155, 771529.030149578)"
