megaregion,mover_state,movedin,percent,
San Antonio-Austin, Texas,98690,42.08,
San Antonio-Austin, California,21485,9.16,15.81523739
San Antonio-Austin, New York,11104,4.73,8.173721016
San Antonio-Austin, Florida,7369,3.14,5.424365109
San Antonio-Austin, Arizona,4947,2.11,3.641516378
San Antonio-Austin, Washington,4938,2.11,3.634891424
San Antonio-Austin, Colorado,4686,2,3.449392713
San Antonio-Austin, Illinois,4686,2,3.449392713
San Antonio-Austin, New Jersey,4574,1.95,3.366948841
San Antonio-Austin, Virginia,4460,1.9,3.283032757
San Antonio-Austin, Pennsylvania,4156,1.77,3.059256533
San Antonio-Austin, North Carolina,3599,1.53,2.649245491
San Antonio-Austin, Massachusetts,3514,1.5,2.586676481
San Antonio-Austin, Michigan,3198,1.36,2.354066986
San Antonio-Austin, Maryland,3132,1.34,2.30548399
San Antonio-Austin, Wisconsin,3064,1.31,2.255428782
San Antonio-Austin, Georgia,2773,1.18,2.041221936
San Antonio-Austin, Minnesota,2748,1.17,2.022819286
San Antonio-Austin, Hawaii,2666,1.14,1.962458594
San Antonio-Austin, New Mexico,2598,1.11,1.912403386
San Antonio-Austin, Louisiana,2543,1.08,1.871917556
San Antonio-Austin, Missouri,2352,1,1.73132131
San Antonio-Austin, Ohio,2305,0.98,1.696724328
San Antonio-Austin, Oklahoma,2060,0.88,1.516378358
San Antonio-Austin, Kansas,1936,0.83,1.425101215
San Antonio-Austin, Tennessee,1835,0.78,1.350754509
San Antonio-Austin, Puerto Rico,1703,0.73,1.253588517
San Antonio-Austin, Alabama,1684,0.72,1.239602503
San Antonio-Austin, Indiana,1682,0.72,1.238130291
San Antonio-Austin, South Carolina,1630,0.69,1.199852779
San Antonio-Austin, Nebraska,1625,0.69,1.196172249
San Antonio-Austin, Utah,1564,0.67,1.151269783
San Antonio-Austin, Nevada,1536,0.65,1.130658815
San Antonio-Austin, Arkansas,1436,0.61,1.057048215
San Antonio-Austin, Mississippi,1361,0.58,1.001840265
San Antonio-Austin, Oregon,1187,0.51,0.873757821
San Antonio-Austin, Kentucky,1150,0.49,0.846521899
San Antonio-Austin, Maine,876,0.37,0.644828855
San Antonio-Austin, Montana,817,0.35,0.601398601
San Antonio-Austin, Connecticut,792,0.34,0.582995951
San Antonio-Austin, New Hampshire,744,0.32,0.547662863
San Antonio-Austin, Iowa,607,0.26,0.446816342
San Antonio-Austin, Alaska,530,0.23,0.39013618
San Antonio-Austin, District of Columbia,459,0.2,0.337872654
San Antonio-Austin, Idaho,400,0.17,0.2944424
San Antonio-Austin, North Dakota,386,0.16,0.284136916
San Antonio-Austin, Rhode Island,254,0.11,0.186970924
San Antonio-Austin, South Dakota,211,0.09,0.155318366
San Antonio-Austin, West Virginia,194,0.08,0.142804564
San Antonio-Austin, Delaware,184,0.08,0.135443504
San Antonio-Austin, Vermont,72,0.03,0.052999632
San Antonio-Austin, Wyoming,38,0.02,0.027972028
